,title,pays,deadline,lien,remaining_times
0,Open-Source Intelligence/Web Scraping Tool,Australia,2024-10-05,https://www.globaltenders.com/tender-detail/open-source-intelligenceweb-scraping-tool-72762842,362.0 days
1,It Service Management (Itsm) Maintenance And Support,Australia,,https://www.globaltenders.com/tender-detail/it-service-management-itsm-maintenance-and-72762564,nan days
2,Purchase Of Information Technology Equipment/Software,Australia,,https://www.globaltenders.com/tender-detail/purchase-of-information-technology-equipment-72762559,nan days
3,Customer Relationship Management (Crm) System,Australia,2023-10-31,https://www.globaltenders.com/tender-detail/customer-relationship-management-crm-syste-72760159,22.0 days
4,Pmsp Phase 3 Early Contractor Involvement (Eci),Australia,2024-10-04,https://www.globaltenders.com/tender-detail/pmsp-phase-3-early-contractor-involvement-e-72707885,361.0 days
5,"Blackrock Camp, Fiji – Head Maintenance Contractor (Hmc)",Australia,2024-10-04,https://www.globaltenders.com/tender-detail/blackrock-camp-fiji-head-maintenance-co-72707884,361.0 days
6,"Papua New Guinea Goldie River Training Depot And Igam Barracks, Lae Essential Services Project Packages 2 & 3 Design Of",Australia,2024-10-04,https://www.globaltenders.com/tender-detail/papua-new-guinea-goldie-river-training-depot-72707883,361.0 days
7,Cook Barracks – Vanuatu – Head Maintenance Contractor,Australia,2024-10-04,https://www.globaltenders.com/tender-detail/cook-barracks-vanuatu-head-maintenan-72707882,361.0 days
8,Indo-Pacific Infrastructure Industry Brief & Approach To Market,Australia,2024-10-04,https://www.globaltenders.com/tender-detail/indo-pacific-infrastructure-industry-brief-72707881,361.0 days
9,Solomon Islands Eastern Border Outpost – Head Contract (International) Tbc,Australia,2024-10-04,https://www.globaltenders.com/tender-detail/solomon-islands-eastern-border-outpost-h-72707880,361.0 days
10,Provision Of Machine Learning Platform,Austria,2023-10-26,https://www.globaltenders.com/tender-detail/provision-of-machine-learning-platform-72808292,17.0 days
11,The Purchase Of A Dell Unity Xt480 Server As Well As Deployment Service And 5-Year Support For Unido.,Austria,2023-10-31,https://www.globaltenders.com/tender-detail/the-purchase-of-a-dell-unity-xt480-server-as-72808287,22.0 days
12,Jku Linz: 14/2023 Jku Electronic Room Management Software – Erooman (Web Application),Austria,2023-11-13,https://www.globaltenders.com/tender-detail/jku-linz-142023-jku-electronic-room-manage-72760316,35.0 days
13,Austrian Energy Agency / Relaunch & Ongoing Support Of The Klimaaktiv Website,Austria,2023-11-03,https://www.globaltenders.com/tender-detail/austrian-energy-agency-relaunch-ongoing-72751822,25.0 days
14,"""Chatbot Solution (On-Premise)""",Austria,2023-10-30,https://www.globaltenders.com/tender-detail/chatbot-solution-on-premise-72597240,21.0 days
15,Elements Of The Wayfinding System,Austria,2023-10-18,https://www.globaltenders.com/tender-detail/elements-of-the-wayfinding-system-72584106,9.0 days
16,Aus23D020 - Digital Augendokumentation,Austria,2023-10-05,https://www.globaltenders.com/tender-detail/aus23d020-digital-augendokumentation-72527074,-4.0 days
