,title,pays,deadline,lien,remaining_times
0,"Request To Establish An Accreditation Panel For The Provision Of Information Technology Assurance Services, Internal Audit And Risk Management Services, Forensic Audit Services And Supply Chain Management Audit Services To …",afrique-du-sud,2023-10-31,https://www.j360.info/appels-d-offres/39657912-request-to-establish-an-accreditation-panel-for-the-provision-of/,22.0 days
1,"Appointment of a service provider for the provision of ICT Security and Cybersecurity services, Trend Micro and Mimecast licenses and support for DTPC for a period of three (3) years",afrique-du-sud,2023-11-08,https://www.j360.info/appels-d-offres/39657902-appointment-of-a-service-provider-for-the-provision-of-ict/,30.0 days
2,Supply and Delivery Hardware Renovation Material,afrique-du-sud,2023-10-12,https://www.j360.info/appels-d-offres/39657895-supply-and-delivery-hardware-renovation-material/,3.0 days
3,SUPPLY AND DELIVERY OF TWO (2) CAMERAS AND SIXTEEN (16) POWERBANKS,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39657896-supply-and-delivery-of-two-2-cameras-and-sixteen-16/,4.0 days
4,MANUFACTURE SUPPLY AND DELIVERY OF RTI DECALS,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39657886-manufacture-supply-and-delivery-of-rti-decals/,4.0 days
5,BUSINESS PROCESS MANAGEMENT SERVICES,afrique-du-sud,2023-10-31,https://www.j360.info/appels-d-offres/39657882-business-process-management-services/,22.0 days
6,Provision of ICT Support and Maintenance,afrique-du-sud,2023-10-31,https://www.j360.info/appels-d-offres/39657876-provision-of-ict-support-and-maintenance/,22.0 days
7,UPGRADE OF CONTROL & INSTRUMENTATION SYSTEM (RE-ISSUE),afrique-du-sud,2023-10-30,https://www.j360.info/appels-d-offres/39648024-upgrade-of-control-instrumentation-system-re-issue/,21.0 days
8,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, DELIVER, INSTALL, MIGRATE, CONFIGURE, SUPPORT AND MAINTAIN SERVERS AND STORAGES AT THE NNR OFFICES FOR A PERIOD OF THREE (3) YEARS",afrique-du-sud,2023-10-26,https://www.j360.info/appels-d-offres/39648018-appointment-of-a-service-provider-to-supply-deliver-install-migrate/,17.0 days
9,Request For Acquisition Of Suitable Office Space For SITA Cape Town Through An Operating Lease Agreement For A Period Of Five (5) Years. Compulsory Virtual Briefing Session Will Be Held …,afrique-du-sud,2023-10-31,https://www.j360.info/appels-d-offres/39647996-request-for-acquisition-of-suitable-office-space-for-sita-cape/,22.0 days
10,MATAIELE LOCAL MUNICIPALITY COUNCIL CHAMBER AUDIO CONFERENCE SYSTEM,afrique-du-sud,2023-11-06,https://www.j360.info/appels-d-offres/39647988-mataiele-local-municipality-council-chamber-audio-conference-system/,28.0 days
11,"Appointment Of A Supplier(S) To Supply, Install New Water Coolers And Maintenance Of Water Coolers At SITA Gauteng Buildings And Including All The Regions For A Period Of Three Years …",afrique-du-sud,2023-10-31,https://www.j360.info/appels-d-offres/39647993-appointment-of-a-suppliers-to-supply-install-new-water-coolers/,22.0 days
12,T/ING/042/2023q – Supply and Delivery of a New Pipe Inspection Camera,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39647982-ting0422023q-supply-and-delivery-of-a-new-pipe-inspection/,4.0 days
13,SUPPLY AND DELIVERY OF PORTABLE SOUND SYSTEMS FOR COMMUNICATIONS,afrique-du-sud,2023-10-11,https://www.j360.info/appels-d-offres/39647969-supply-and-delivery-of-portable-sound-systems-for-communications/,2.0 days
14,APPOINTMENT OF A STRATEGIST TO CONDUCT A NUMBER OF WORKSHOPS WITH VARIOUS MANAGEMENT GROUPS TO ASSIST SANParks TO CO-CREATE A ROADMAP WITH THE AIM OF BECOMING A PEOPLE CENTRIC; SMART …,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39647951-appointment-of-a-strategist-to-conduct-a-number-of-workshops/,4.0 days
15,"Request For Accreditation (RFA) Panel Of Cloud Service Providers For The Provisioning Of IAAS, PAAS, SAAS AND XAAS For The SITA Marketplace For A Period Of Five (05) Years",afrique-du-sud,2023-10-30,https://www.j360.info/appels-d-offres/39647939-request-for-accreditation-rfa-panel-of-cloud-service-providers-for/,21.0 days
16,Appointment of a service provider to enable digital accessibility of real estate related information,afrique-du-sud,2023-11-07,https://www.j360.info/appels-d-offres/39638188-appointment-of-a-service-provider-to-enable-digital-accessibility-of/,29.0 days
17,INVITATION FOR AN OPEN TENDER TO PROVIDE RESTAURANT SERVICES TO THE INNOVATION HUB MANANGEMENT COMPANY (SOC) FOR A PERIOD OF FIVE (5) YEARS.,afrique-du-sud,2023-10-27,https://www.j360.info/appels-d-offres/39638190-invitation-for-an-open-tender-to-provide-restaurant-services-to/,18.0 days
18,Appointment of a suitable and experienced service provider to supply and deliver 516 tablets.,afrique-du-sud,2023-10-30,https://www.j360.info/appels-d-offres/39638184-appointment-of-a-suitable-and-experienced-service-provider-to-supply/,21.0 days
19,6X Third Generation digital FM Radio Modulation Analyser and Monitoring Receiver,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39638182-6x-third-generation-digital-fm-radio-modulation-analyser-and-monitoring/,4.0 days
20,"APPOINTMENT OF A SERVICE PROVIDER FOR THE BESPOKE SOFTWARE DEVELOPMENT, CUSTOMISATION/ENHANCEMENT, MAINTENANCE AND SUPPORT SERVICES OF THE OHSC INFORMATION SYSTEM FOR THREE YEARS",afrique-du-sud,2023-10-27,https://www.j360.info/appels-d-offres/39638174-appointment-of-a-service-provider-for-the-bespoke-software-development/,18.0 days
21,"Service provider to Supply and deliver ADC DUAL/STEREO Bantam TT patch cables 2M, ADC Single/Mono Bantam TT patch cables 2M, Sentech Head Office.",afrique-du-sud,2023-10-17,https://www.j360.info/appels-d-offres/39638162-service-provider-to-supply-and-deliver-adc-dualstereo-bantam-tt/,8.0 days
22,TELEMETRY SYSTEM INSTALLATION AND MAINTENANCE FOR JOE GQABI DISTRICT MUNICIPALITY FOR A PERIOD OF THREE (3) YEARS,afrique-du-sud,2023-11-17,https://www.j360.info/appels-d-offres/39638164-telemetry-system-installation-and-maintenance-for-joe-gqabi-district-municipality/,39.0 days
23,MEDITATION ROOFS,afrique-du-sud,2024-01-31,https://www.j360.info/appels-d-offres/39636888-meditation-roofs/,114.0 days
24,"INTERNATIONAL CALL FOR ART, ArtMaze Magazine Edition 36",afrique-du-sud,2023-10-19,https://www.j360.info/appels-d-offres/39636887-international-call-for-art-artmaze-magazine-edition-36/,10.0 days
25,SUPPLY & DELIVERY OF 3 LAPTOPS,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39636784-supply-delivery-of-3-laptops/,4.0 days
